review_id,video_id,video_title,source_url,published_at,segment,player_name,mentioned_restaurant,decision,relation_type,confidence,reason,db_action
video-2025-03,aNZ3LVyw4SA,KIA 공식 영상 - 광주 현지 선수들이 추천하는 맛집,https://www.youtube.com/watch?v=aNZ3LVyw4SA&t=65s,2025-02-18,01:05,윤영철,왕뼈사랑,included,direct_recommendation,high,선수 직접 추천,kia-food-002 직접 근거 추가
video-2025-04,aNZ3LVyw4SA,KIA 공식 영상 - 광주 현지 선수들이 추천하는 맛집,https://www.youtube.com/watch?v=aNZ3LVyw4SA&t=69s,2025-02-18,01:09,최지민,덮밥장사장 전남대점,included,direct_recommendation,high,선수 직접 추천,kia-food-032 신규 추가
video-2025-05,aNZ3LVyw4SA,KIA 공식 영상 - 광주 현지 선수들이 추천하는 맛집,https://www.youtube.com/watch?v=aNZ3LVyw4SA&t=74s,2025-02-18,01:14,최지민,돈구이 불붙었네,included,direct_recommendation,high,선수 직접 추천,kia-food-003 직접 근거 추가
video-2025-06,aNZ3LVyw4SA,KIA 공식 영상 - 광주 현지 선수들이 추천하는 맛집,https://www.youtube.com/watch?v=aNZ3LVyw4SA&t=90s,2025-02-18,01:30,윤영철,차돌집,included,direct_recommendation,high,선수 직접 추천,kia-food-004 관계 추가
video-2025-07,aNZ3LVyw4SA,KIA 공식 영상 - 광주 현지 선수들이 추천하는 맛집,https://www.youtube.com/watch?v=aNZ3LVyw4SA&t=103s,2025-02-18,01:43,최지민,25시참숯구이,included,direct_recommendation,high,선수 직접 추천,kia-food-005 직접 근거 추가
video-2025-08,aNZ3LVyw4SA,KIA 공식 영상 - 광주 현지 선수들이 추천하는 맛집,https://www.youtube.com/watch?v=aNZ3LVyw4SA&t=131s,2025-02-18,02:11,김태형,구이마을 한양대점,included,direct_recommendation,high,선수 직접 추천,kia-food-033 신규 추가(서울)
video-2025-09,aNZ3LVyw4SA,KIA 공식 영상 - 광주 현지 선수들이 추천하는 맛집,https://www.youtube.com/watch?v=aNZ3LVyw4SA&t=152s,2025-02-18,02:32,김도현,농성화로,included,direct_recommendation,high,선수 직접 추천,kia-food-007 관계 추가
video-2025-10,aNZ3LVyw4SA,KIA 공식 영상 - 광주 현지 선수들이 추천하는 맛집,https://www.youtube.com/watch?v=aNZ3LVyw4SA&t=165s,2025-02-18,02:45,김도현,시골집,included,direct_recommendation,high,선수 직접 추천,kia-food-008 직접 근거 추가
video-2025-11,aNZ3LVyw4SA,KIA 공식 영상 - 광주 현지 선수들이 추천하는 맛집,https://www.youtube.com/watch?v=aNZ3LVyw4SA,2025-02-18,정정 맥락,윤영철,청년다방,excluded,corrected_non_recommendation,high,좋아하는 음식 발언이 맛집 추천처럼 편집되었다고 설명,추천 DB 미반영
video-2025-12,aNZ3LVyw4SA,KIA 공식 영상 - 광주 현지 선수들이 추천하는 맛집,https://www.youtube.com/watch?v=aNZ3LVyw4SA&t=128s,2025-02-18,약 02:08,김태형,삼일집,excluded,visit_mention_only,medium-high,함께 방문한 맥락이지 추천 식당으로 제시한 발화가 아님,추천 관계 미추가
video-rookie-01,VlYElV-_3g8,KIA 공식 영상 - 2026 신인들은 이것이 궁금하다,https://www.youtube.com/watch?v=VlYElV-_3g8&t=1248s,2025-10-16,20:48,지현,,excluded,request_for_recommendation,high,팬에게 광주 밥집 추천을 요청했을 뿐 특정 식당을 추천하지 않음,추천 DB 미반영
