evidence_id,restaurant_id,player_name,kia_context,relation_type,recommendation_context,source_title,source_url,source_published_at,source_origin,source_directness,confidence,verification_status,notes
evidence-027a,kia-food-027,최지민,KIA 타이거즈 선수,team_favorite,구단 영상 내용을 다룬 기사에서 선수 방문 맛집으로 소개,무등일보 - KIA E-TV 속 선수 맛집,https://www.mdilbo.com/detail/xQQILD/721355,2024-06-02,구단 콘텐츠 인용 보도,구단 콘텐츠를 인용한 기사,medium-high,official_secondary_confirmed,
evidence-027b,kia-food-027,곽도규,KIA 타이거즈 선수,team_favorite,구단 영상 내용을 다룬 기사에서 선수 방문 맛집으로 소개,무등일보 - KIA E-TV 속 선수 맛집,https://www.mdilbo.com/detail/xQQILD/721355,2024-06-02,구단 콘텐츠 인용 보도,구단 콘텐츠를 인용한 기사,medium-high,official_secondary_confirmed,
evidence-028,kia-food-028,윤중현,KIA 타이거즈 선수,family_owned,KIA 공식 웹진에서 선수 가족 운영 식당과 추천 메뉴를 소개,KIA 타이거즈 공식 웹진 - 윤중현 가족 식당,https://tigers.co.kr/files/webzine/2021/10/10/20211010232700.3cd-de9151929033.%ED%98%B8%EB%9E%91%EC%9D%B4%EB%8A%94%20%EB%82%B4%EC%B9%9C%EA%B5%AC%202021%EB%85%84%2010%EC%9B%94%ED%98%B8.pdf,2021-10,KIA 타이거즈 공식 웹진,구단 공식 웹진,high,family_owned_source,독립 추천과 구분해 표시
evidence-029,kia-food-029,서재응,당시 KIA 타이거즈 소속(2009),direct_recommendation,인터뷰에서 영미오리탕을 직접 추천,일간스포츠 - KIA 선수들이 추천한 광주 맛집,https://v.daum.net/v/20091014070103691,2009-10-14,일간스포츠 인터뷰,과거 선수 직접 인터뷰,high,historical_direct_source,
evidence-030,kia-food-030,김상훈,당시 KIA 타이거즈 소속(2009),direct_recommendation,인터뷰에서 당시 상호 화정식당을 직접 추천,일간스포츠 - KIA 선수들이 추천한 광주 맛집,https://v.daum.net/v/20091014070103691,2009-10-14,일간스포츠 인터뷰,과거 선수 직접 인터뷰,high,historical_direct_source,현재 상호 화정떡갈비와의 연속성 확인 필요
evidence-031a,kia-food-031,최희섭,당시 KIA 타이거즈 소속(2009),direct_recommendation,인터뷰에서 광양숯불구이를 직접 추천,일간스포츠 - KIA 선수들이 추천한 광주 맛집,https://v.daum.net/v/20091014070103691,2009-10-14,일간스포츠 인터뷰,과거 선수 직접 인터뷰,high,historical_direct_source,
evidence-031b,kia-food-031,김상현,당시 KIA 타이거즈 소속(2009),regular,같은 기사에서 광양숯불구이를 자주 찾는 선수로 소개,일간스포츠 - KIA 선수들이 추천한 광주 맛집,https://v.daum.net/v/20091014070103691,2009-10-14,일간스포츠 인터뷰,과거 선수 인터뷰 기사,high,historical_direct_source,
evidence-001-video,kia-food-001,윤영철,KIA 타이거즈 선수,direct_recommendation,영상에서 떡볶이 대통령을 직접 추천,KIA 공식 영상 - 광주 현지 선수들이 추천하는 맛집,https://www.youtube.com/watch?v=aNZ3LVyw4SA&t=43s,2025-02-18,KIA 타이거즈 공식 유튜브,KIA 공식 영상·선수 직접 발화,high,direct_source_confirmed,
evidence-002-video,kia-food-002,윤영철,KIA 타이거즈 선수,direct_recommendation,영상에서 왕뼈사랑을 직접 추천,KIA 공식 영상 - 광주 현지 선수들이 추천하는 맛집,https://www.youtube.com/watch?v=aNZ3LVyw4SA&t=65s,2025-02-18,KIA 타이거즈 공식 유튜브,KIA 공식 영상·선수 직접 발화,high,direct_source_confirmed,
evidence-003-video,kia-food-003,최지민,KIA 타이거즈 선수,direct_recommendation,영상에서 돈구이 불붙었네를 직접 추천,KIA 공식 영상 - 광주 현지 선수들이 추천하는 맛집,https://www.youtube.com/watch?v=aNZ3LVyw4SA&t=74s,2025-02-18,KIA 타이거즈 공식 유튜브,KIA 공식 영상·선수 직접 발화,high,direct_source_confirmed,
evidence-004-yoon-video,kia-food-004,윤영철,KIA 타이거즈 선수,direct_recommendation,영상에서 차돌집을 직접 추천,KIA 공식 영상 - 광주 현지 선수들이 추천하는 맛집,https://www.youtube.com/watch?v=aNZ3LVyw4SA&t=90s,2025-02-18,KIA 타이거즈 공식 유튜브,KIA 공식 영상·선수 직접 발화,high,direct_source_confirmed,
evidence-005-video,kia-food-005,최지민,KIA 타이거즈 선수,direct_recommendation,영상에서 25시참숯구이를 직접 추천,KIA 공식 영상 - 광주 현지 선수들이 추천하는 맛집,https://www.youtube.com/watch?v=aNZ3LVyw4SA&t=103s,2025-02-18,KIA 타이거즈 공식 유튜브,KIA 공식 영상·선수 직접 발화,high,direct_source_confirmed,
evidence-006-choi-video,kia-food-006,최지민,KIA 타이거즈 선수,direct_recommendation,영상에서 삼일집을 직접 추천,KIA 공식 영상 - 광주 현지 선수들이 추천하는 맛집,https://www.youtube.com/watch?v=aNZ3LVyw4SA&t=51s,2025-02-18,KIA 타이거즈 공식 유튜브,KIA 공식 영상·선수 직접 발화,high,direct_source_confirmed,
evidence-007-na-video,kia-food-007,나성범,KIA 타이거즈 선수,direct_recommendation,영상에서 농성화로를 직접 추천,KIA 공식 영상 - 순도 100% 광주 현지인 맛집 추천,https://www.youtube.com/watch?v=klD5NF1d1ZQ&t=250s,2023-03-15,KIA 타이거즈 공식 유튜브,KIA 공식 영상·선수 직접 발화,high,direct_source_confirmed,
evidence-007-kimdoh-video,kia-food-007,김도현,KIA 타이거즈 선수,direct_recommendation,영상에서 농성화로를 직접 추천,KIA 공식 영상 - 광주 현지 선수들이 추천하는 맛집,https://www.youtube.com/watch?v=aNZ3LVyw4SA&t=152s,2025-02-18,KIA 타이거즈 공식 유튜브,KIA 공식 영상·선수 직접 발화,high,direct_source_confirmed,
evidence-008-video,kia-food-008,김도현,KIA 타이거즈 선수,direct_recommendation,영상에서 시골집을 직접 추천,KIA 공식 영상 - 광주 현지 선수들이 추천하는 맛집,https://www.youtube.com/watch?v=aNZ3LVyw4SA&t=165s,2025-02-18,KIA 타이거즈 공식 유튜브,KIA 공식 영상·선수 직접 발화,high,direct_source_confirmed,
evidence-014-han-video,kia-food-014,한승택,KIA 타이거즈 선수,direct_recommendation,영상에서 진식당을 직접 추천,KIA 공식 영상 - 순도 100% 광주 현지인 맛집 추천,https://www.youtube.com/watch?v=klD5NF1d1ZQ&t=358s,2023-03-15,KIA 타이거즈 공식 유튜브,KIA 공식 영상·선수 직접 발화,high,direct_source_confirmed,
evidence-014-kimseok-video,kia-food-014,김석환,KIA 타이거즈 선수,direct_recommendation,영상에서 진식당을 직접 추천,KIA 공식 영상 - 순도 100% 광주 현지인 맛집 추천,https://www.youtube.com/watch?v=klD5NF1d1ZQ&t=126s,2023-03-15,KIA 타이거즈 공식 유튜브,KIA 공식 영상·선수 직접 발화,high,direct_source_confirmed,
evidence-015-video,kia-food-015,송후섭,KIA 타이거즈 선수,direct_recommendation,영상에서 명화식육식당을 직접 추천,KIA 공식 영상 - 순도 100% 광주 현지인 맛집 추천,https://www.youtube.com/watch?v=klD5NF1d1ZQ&t=30s,2023-03-15,KIA 타이거즈 공식 유튜브,KIA 공식 영상·선수 직접 발화,high,direct_source_confirmed,
evidence-016-video,kia-food-016,김석환,KIA 타이거즈 선수,direct_recommendation,영상에서 산수쌈밥을 직접 추천,KIA 공식 영상 - 순도 100% 광주 현지인 맛집 추천,https://www.youtube.com/watch?v=klD5NF1d1ZQ&t=130s,2023-03-15,KIA 타이거즈 공식 유튜브,KIA 공식 영상·선수 직접 발화,high,direct_source_confirmed,
evidence-017-video,kia-food-017,김호령,KIA 타이거즈 선수,direct_recommendation,영상에서 맛찬들왕소금구이를 직접 추천,KIA 공식 영상 - 순도 100% 광주 현지인 맛집 추천,https://www.youtube.com/watch?v=klD5NF1d1ZQ&t=5s,2023-03-15,KIA 타이거즈 공식 유튜브,KIA 공식 영상·선수 직접 발화,high,direct_source_confirmed,
evidence-018-video,kia-food-018,이태규,KIA 타이거즈 선수,direct_recommendation,영상에서 광주보쌈을 직접 추천,KIA 공식 영상 - 순도 100% 광주 현지인 맛집 추천,https://www.youtube.com/watch?v=klD5NF1d1ZQ&t=40s,2023-03-15,KIA 타이거즈 공식 유튜브,KIA 공식 영상·선수 직접 발화,high,direct_source_confirmed,
evidence-028-video,kia-food-028,윤중현,KIA 타이거즈 선수,family_owned,영상에서 선수 가족이 운영하는 독도횟집을 소개,KIA 공식 영상 - 순도 100% 광주 현지인 맛집 추천,https://www.youtube.com/watch?v=klD5NF1d1ZQ&t=449s,2023-03-15,KIA 타이거즈 공식 유튜브,KIA 공식 영상·선수 직접 소개,high,family_owned_source,독립 추천과 구분
evidence-032-video,kia-food-032,최지민,KIA 타이거즈 선수,direct_recommendation,영상에서 덮밥장사장 전남대점을 직접 추천,KIA 공식 영상 - 광주 현지 선수들이 추천하는 맛집,https://www.youtube.com/watch?v=aNZ3LVyw4SA&t=69s,2025-02-18,KIA 타이거즈 공식 유튜브,KIA 공식 영상·선수 직접 발화,high,direct_source_confirmed,
evidence-033-video,kia-food-033,김태형,KIA 타이거즈 선수,direct_recommendation,영상에서 구이마을 한양대점을 직접 추천,KIA 공식 영상 - 광주 현지 선수들이 추천하는 맛집,https://www.youtube.com/watch?v=aNZ3LVyw4SA&t=131s,2025-02-18,KIA 타이거즈 공식 유튜브,KIA 공식 영상·선수 직접 발화,high,direct_source_confirmed,광주 외 지역
evidence-034-video,kia-food-034,유승철,KIA 타이거즈 선수,direct_recommendation,영상에서 삼평식당 동명점을 직접 추천,KIA 공식 영상 - 순도 100% 광주 현지인 맛집 추천,https://www.youtube.com/watch?v=klD5NF1d1ZQ&t=89s,2023-03-15,KIA 타이거즈 공식 유튜브,KIA 공식 영상·선수 직접 발화,high,direct_source_confirmed,
evidence-035-video,kia-food-035,김규성,KIA 타이거즈 선수,direct_recommendation,영상에서 마포선장을 직접 추천,KIA 공식 영상 - 순도 100% 광주 현지인 맛집 추천,https://www.youtube.com/watch?v=klD5NF1d1ZQ&t=309s,2023-03-15,KIA 타이거즈 공식 유튜브,KIA 공식 영상·선수 직접 발화,high,branch_unknown,지점 미지정
evidence-036-video,kia-food-036,류지혁,KIA 타이거즈 선수,direct_recommendation,영상에서 서울식사리를 직접 추천,KIA 공식 영상 - 순도 100% 광주 현지인 맛집 추천,https://www.youtube.com/watch?v=klD5NF1d1ZQ&t=297s,2023-03-15,KIA 타이거즈 공식 유튜브,KIA 공식 영상·선수 직접 발화,medium-high,name_transition_review,현재 상호 연속성 확인 필요
evidence-037-video,kia-food-037,홍종표,KIA 타이거즈 선수,direct_recommendation,영상 최종 정리 카드에서 서울깍두기 추천자로 표시,KIA 공식 영상 - 순도 100% 광주 현지인 맛집 추천,https://www.youtube.com/watch?v=klD5NF1d1ZQ&t=465s,2023-03-15,KIA 타이거즈 공식 유튜브,KIA 공식 영상·선수 직접 발화,medium-high,branch_unknown,지점 미지정
