lclsSystm1Cd,lclsSystm1Nm,lclsSystm2Cd,lclsSystm2Nm,lclsSystm3Cd,lclsSystm3Nm,rnum
NA,자연관광,NA03,자연생태,NA030200,희귀동.식물,172
NA,자연관광,NA03,자연생태,NA030300,기암괴석,173
NA,자연관광,NA03,자연생태,NA030400,생태습지,174
NA,자연관광,NA03,자연생태,NA030500,기타자연생태,175
NA,자연관광,NA04,자연공원,NA040100,국립공원,176
NA,자연관광,NA04,자연공원,NA040200,도립공원,177
NA,자연관광,NA04,자연공원,NA040300,군립공원,178
NA,자연관광,NA04,자연공원,NA040400,지질공원,179
NA,자연관광,NA04,자연공원,NA040500,생태관광지,180
NA,자연관광,NA04,자연공원,NA040600,자연휴양림,181
NA,자연관광,NA04,자연공원,NA040700,수목원ㆍ정원,182
NA,자연관광,NA05,기타자연관광,NA050100,기타자연관광,183
SH,쇼핑,SH01,백화점,SH010100,백화점,184
SH,쇼핑,SH02,쇼핑몰,SH020100,복합쇼핑몰,185
SH,쇼핑,SH02,쇼핑몰,SH020200,아웃렛,186
SH,쇼핑,SH03,대형마트,SH030100,대형마트,187
SH,쇼핑,SH04,면세점,SH040100,공항면세점,188
SH,쇼핑,SH04,면세점,SH040200,시내면세점,189
SH,쇼핑,SH04,면세점,SH040300,사후면세점,190
SH,쇼핑,SH05,전문매장/상가,SH050100,공방/공예품점,191
SH,쇼핑,SH05,전문매장/상가,SH050200,전문상가,192
SH,쇼핑,SH05,전문매장/상가,SH050300,관광기념품/특산물판매점,193
SH,쇼핑,SH06,시장,SH060100,비상설시장,194
SH,쇼핑,SH06,시장,SH060200,상설시장,195
SH,쇼핑,SH07,기타쇼핑시설,SH070100,기타쇼핑시설,196
VE,문화관광,VE01,랜드마크관광,VE010100,건물,197
VE,문화관광,VE01,랜드마크관광,VE010200,타워 / 전망대,198
VE,문화관광,VE01,랜드마크관광,VE010300,다리 / 대교,199
VE,문화관광,VE01,랜드마크관광,VE010400,분수,200
VE,문화관광,VE01,랜드마크관광,VE010500,동상,201
VE,문화관광,VE01,랜드마크관광,VE010600,터널,202
VE,문화관광,VE01,랜드마크관광,VE010700,댐,203
VE,문화관광,VE01,랜드마크관광,VE010800,등대,204
VE,문화관광,VE01,랜드마크관광,VE010900,기타 건축/조형물,205
VE,문화관광,VE02,테마공원,VE020100,테마파크,206
VE,문화관광,VE02,테마공원,VE020200,워터파크,207
VE,문화관광,VE02,테마공원,VE020300,동물원,208
VE,문화관광,VE02,테마공원,VE020400,수족관 / 아쿠라리움,209
VE,문화관광,VE02,테마공원,VE020500,천문대,210
VE,문화관광,VE03,도시공원,VE030100,시민공원,211
VE,문화관광,VE03,도시공원,VE030200,소공원,212
VE,문화관광,VE03,도시공원,VE030300,어린이공원,213
VE,문화관광,VE03,도시공원,VE030400,근린공원,214
VE,문화관광,VE03,도시공원,VE030500,주제공원,215
VE,문화관광,VE04,도시.지역문화관광,VE040100,"골목길, 문화거리",216
VE,문화관광,VE04,도시.지역문화관광,VE040200,마을관광지,217
VE,문화관광,VE04,도시.지역문화관광,VE040300,둘레길,218
VE,문화관광,VE05,복합관광시설,VE050100,관광단지,219
VE,문화관광,VE05,복합관광시설,VE050200,리조트,220
VE,문화관광,VE06,공연시설,VE060100,공연장,221
VE,문화관광,VE06,공연시설,VE060200,영화관,222
VE,문화관광,VE07,전시시설,VE070100,박물관,223
VE,문화관광,VE07,전시시설,VE070200,기념관,224
VE,문화관광,VE07,전시시설,VE070300,전시관,225
VE,문화관광,VE07,전시시설,VE070400,컨벤션센터,226
VE,문화관광,VE07,전시시설,VE070500,과학관,227
VE,문화관광,VE07,전시시설,VE070600,미술관/화랑,228
VE,문화관광,VE08,행사시설,VE080600,연회장,229
VE,문화관광,VE09,교육시설,VE090100,한국문화원,230
VE,문화관광,VE09,교육시설,VE090200,외국문화원,231
VE,문화관광,VE09,교육시설,VE090300,도서관,232
VE,문화관광,VE09,교육시설,VE090400,문화전수시설,233
VE,문화관광,VE09,교육시설,VE090500,어학당,234
VE,문화관광,VE09,교육시설,VE090600,학교,235
VE,문화관광,VE10,레저스포츠시설,VE100100,스포츠경기장,236
VE,문화관광,VE10,레저스포츠시설,VE100200,"스포츠센터, 수련시설",237
VE,문화관광,VE11,교통시설,VE110100,공항,238
VE,문화관광,VE11,교통시설,VE110200,기차역,239
VE,문화관광,VE11,교통시설,VE110300,버스터미널,240
VE,문화관광,VE11,교통시설,VE110400,여객선터미널,241
VE,문화관광,VE11,교통시설,VE110500,고속도로휴게소,242
VE,문화관광,VE11,교통시설,VE110600,지하철,243
VE,문화관광,VE12,기타문화관광지,VE120100,서점,244
VE,문화관광,VE12,기타문화관광지,VE120200,카지노,245
VE,문화관광,VE12,기타문화관광지,VE120300,기타문화시설,246
